num_cols,cat_cols,temporal_cols,avg_cardinality,corr_strength,pct_nulls,numeric_cardinality_mean,contains_geo,hierarchical_cat,numeric_ratio,chart_type
2,3,0,4.658952175403464,0.6144437689451298,0.043611710835532724,28.7776935102874,0,0,0.4265571405127726,Bar
4,0,0,0.0,0.5176925592936464,0.0,184.54046430155273,0,0,1.0,Scatter
2,1,0,18.56120278057235,0.44877750934438604,0.31182872247574467,24.961768700852122,0,0,0.7257946605778216,Bar
2,3,0,22.825933659660002,0.8322557897408926,0.24752365869975976,57.101141277277115,1,0,0.36826171311963246,Heatmap
3,2,0,2.9187982903169907,0.3140432732309675,0.04850569211330433,11.39788426577795,0,0,0.5905090373051567,Bar
1,0,0,0.0,0.32942008762867897,0.13018576329263842,422.737979406813,0,0,1.0,Histograma
3,0,2,2.920873298615793,0.4387898450363316,0.023364304736858917,238.24837634975694,0,0,0.6062723798199989,Area
1,3,0,8.255184801598977,0.9322467287426843,0.045354255915923944,36.507015427401726,0,0,0.23279759358189556,Heatmap
3,1,0,19.391370307253702,0.4138991652001245,0.31729130951507234,12.030082170875366,0,0,0.7904470532048442,Bar
2,0,2,1.1061262322790206,0.7619549374531469,0.0,244.94170401078415,0,0,0.49096575379714397,Area
1,0,1,0.0,0.36779308010672584,0.16902806915061597,52.67088929791335,0,0,0.5140050681324753,Line
2,2,0,12.820445047216971,0.4105681800823756,0.2607262424702214,19.357157520621893,0,0,0.48966574241952665,Bar
3,2,0,7.07809017112912,0.3520787879229917,0.017370784848258325,25.079757384904074,0,1,0.5933754364334901,Bar
3,3,0,4.720445486395784,0.24485603588743848,0.1977618554380013,47.24111316976042,0,0,0.5099429631210964,Bar
4,0,2,0.41281284542968155,0.49559866901856253,0.04296005635078674,144.16891827351043,0,0,0.6359467685018687,Area
1,1,0,3.506209446798553,0.3695394145185421,0.09020485683936626,20.50344786640131,0,0,0.5,Pie
1,2,0,11.51423673734889,0.36855895780477255,0.22910511922946253,73.45229496637226,0,0,0.3317110780521961,Bar
4,0,0,0.0,0.9771941403948615,0.0460369243179709,142.15098719399228,1,0,1.0,Scatter
3,1,1,1.1025671806553636,0.6079280633592271,0.23507067813903199,85.61031770894957,0,0,0.6503116258231953,Line
1,2,0,8.956660071875937,0.08518566148038918,0.13563218853066605,29.870241888620114,0,0,0.3912401056820677,Bar
1,4,1,8.0,0.15934431909930696,0.2023761112198675,14.37443096956859,0,0,0.15304798021681423,Table
2,2,0,5.925126988619095,0.14302282998270807,0.23554287021771966,33.17277563857054,0,0,0.47204565406705695,Bar
1,0,0,0.0,0.17956318629134593,0.1571705562392197,223.84641058151252,0,0,1.0,Histograma
